0,1,2,3,4,5
20,14,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
20,15,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
20,16,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
20,17,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
21,1,45,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
21,2,44,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
21,3,43,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
21,4,42,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
21,5,41,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,9.5
22,1,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
22,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
22,3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
22,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
22,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
22,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,-0.5
22,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
22,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
22,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
22,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
22,11,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
22,12,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
22,13,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
22,14,12,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
22,15,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
23,1,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
23,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
23,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
23,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
24,1,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
24,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
24,3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
24,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
24,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
24,6,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
24,7,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
24,8,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
24,9,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
24,10,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
24,11,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
24,12,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
25,1,35,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
25,2,34,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
25,3,33,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
